prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,40.53624415397644,188,no,36,18,0.0,0.0441131591796875,1.0
prompt1,0.3117151141792816,18.90543222427368,119,no,15,3,0.34033203125,0.0478515625,0.7435302734375
prompt2,0.0,15.192643404006958,89,no,2,70000,0.0,0.04217529296875,1.0
prompt3,0.22709579255367088,2.6924476623535156,18,yes,540,540,0.5872395833333334,0.05218505859375,0.832275390625
prompt4,0.0,21.119329929351807,118,no,10,20,0.0,0.0432281494140625,1.0
prompt5,0.05086063557908278,56.56396245956421,254,no,19.6,64,0.1357421875,0.043402099609375,0.88623046875
prompt6,0.0,29.426358222961426,170,no,13,260,0.0,0.0421295166015625,1.0
prompt7,0.0656891172818486,31.567955255508423,177,yes,160,160,0.22493489583333334,0.046437581380208336,0.8616536458333334
prompt8,0.0,38.81588554382324,171,no,10,45,0.0,0.0427398681640625,1.0
prompt9,0.0,22.341395616531372,107,yes,460,460,0.0,0.0440673828125,1.0
prompt10,0.0,21.29101276397705,126,no,306,366,0.0,0.042572021484375,1.0
prompt11,0.0,22.827819347381592,130,no,539,694,0.0,0.04266357421875,1.0
prompt12,0.0,25.7448570728302,149,no,2,13,0.0,0.044525146484375,1.0
prompt13,0.35574267267918014,2.00044584274292,13,no,5,18,0.677734375,0.04937744140625,0.439453125
prompt14,0.17223580885160306,22.042222261428833,131,no,40,60,0.3388671875,0.048004150390625,0.7264404296875
prompt15,0.0,41.594008684158325,222,no,29,125,0.0,0.0432891845703125,1.0
prompt16,0.0,10.925324201583862,68,yes,230,230,0.0,0.0430908203125,1.0
prompt17,0.0,9.25007939338684,54,no,41600,57500,0.0,0.04346923828125,1.0
prompt18,0.4638743563549309,20.596407413482666,103,no,60,7,0.34033203125,0.0477294921875,0.7491455078125
prompt19,0.0,18.659329652786255,111,no,4.5,6,0.0,0.043538411458333336,1.0
prompt20,0.1826384880938696,89.72470688819885,376,no,6.8,15,0.395263671875,0.04695892333984375,0.788543701171875
prompt21,,22.727829217910767,127,buggy,None,14,,,
prompt22,0.0,9.962545156478882,63,yes,7,7,0.0,0.04351806640625,1.0
prompt23,0.11843413236472705,210.81265139579773,886,no,4.5,8,0.169677734375,0.044586181640625,0.8765869140625
prompt24,0.0,19.6031334400177,97,no,6.5,26,0.0,0.04463958740234375,1.0
prompt25,0.4821898206908887,31.940512657165527,149,no,3,2,0.67822265625,0.048858642578125,0.5634765625
prompt26,0.0,77.75530672073364,331,no,7,243,0.0,0.043426513671875,1.0
prompt27,0.0,10.804823398590088,62,no,15,16,0.0,0.046173095703125,1.0
prompt28,0.0,33.266374588012695,157,yes,25,25,0.0,0.042266845703125,1.0
prompt29,0.0,13.384646892547607,66,no,83,104,0.0,0.0424957275390625,1.0
prompt30,0.9388819371893666,1.8176894187927246,9,no,42,109,2.099609375,0.0568695068359375,0.473388671875
prompt31,0.34259310854054376,89.02158403396606,375,no,108.67,80,0.452392578125,0.04974365234375,0.6915079752604166
prompt32,,0.1511218547821045,1,buggy,None,35,,,
prompt33,0.0,7.264054298400879,48,no,80,70,0.0,0.0435791015625,1.0
prompt34,0.0,11.517256498336792,58,no,37.5,23,0.0,0.045556640625,1.0
