prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,92.37550902366638,362,yes,18,18,0.0,0.02242279052734375,1.0
prompt1,0.0,107.67983222007751,424,yes,3,3,0.0,0.0191802978515625,1.0
prompt2,0.0,78.67372560501099,315,yes,70000,70000,0.0,0.02779541015625,1.0
prompt3,0.0,59.49182391166687,251,yes,540,540,0.0,0.021107991536458332,1.0
prompt4,0.0,129.47175788879395,470,yes,20,20,0.0,0.023712158203125,1.0
prompt5,0.0,194.95963072776794,672,yes,64,64,0.0,0.0206451416015625,1.0
prompt6,0.0,118.2246766090393,454,yes,260,260,0.0,0.020904541015625,1.0
prompt7,,334.48785424232483,1000,buggy,None,160,,,
prompt8,0.0,205.9210982322693,680,yes,45,45,0.0,0.021881103515625,1.0
prompt9,,332.24984645843506,1000,buggy,None,460,,,
prompt10,0.0,63.97048330307007,262,yes,366,366,0.0,0.024627685546875,1.0
prompt11,0.0,79.54964637756348,316,yes,694,694,0.0,0.025777180989583332,1.0
prompt12,0.0,80.87804007530212,320,no,12,13,0.0,0.02359771728515625,1.0
prompt13,0.0,137.18523120880127,510,yes,18,18,0.0,0.02063751220703125,1.0
prompt14,0.0,119.09954118728638,454,yes,60,60,0.0,0.0215606689453125,1.0
prompt15,0.0,161.91430592536926,568,yes,125,125,0.0,0.0200653076171875,1.0
prompt16,0.0,61.047656536102295,253,yes,230,230,0.0,0.022735595703125,1.0
prompt17,0.0,211.3314106464386,712,yes,57500,57500,0.0,0.02503662109375,1.0
prompt18,0.0,53.106159687042236,227,yes,7,7,0.0,0.0228424072265625,1.0
prompt19,0.0,86.59886717796326,340,yes,6,6,0.0,0.0219573974609375,1.0
prompt20,0.0,185.73299956321716,644,yes,15,15,0.0,0.02295684814453125,1.0
prompt21,0.0,43.90836048126221,187,yes,14,14,0.0,0.02434539794921875,1.0
prompt22,0.0,102.16058707237244,396,yes,7,7,0.0,0.01947021484375,1.0
prompt23,0.0,35.639286279678345,155,yes,8,8,0.0,0.019317626953125,1.0
prompt24,0.0,113.24207830429077,438,yes,26,26,0.0,0.02176666259765625,1.0
prompt25,0.0,120.83521008491516,456,yes,2,2,0.0,0.0191802978515625,1.0
prompt26,0.0,57.04528784751892,236,yes,243,243,0.0,0.024419148763020832,1.0
prompt27,0.0,45.22105050086975,191,yes,16,16,0.0,0.022918701171875,1.0
prompt28,0.0,31.396856546401978,136,yes,25,25,0.0,0.0235748291015625,1.0
prompt29,0.0,80.03633785247803,317,yes,104,104,0.0,0.020060221354166668,1.0
prompt30,,56.29148602485657,238,buggy,None,109,,,
prompt31,0.0,63.61723017692566,261,yes,80,80,0.0,0.023651123046875,1.0
prompt32,0.0,35.67755460739136,155,yes,35,35,0.0,0.0219573974609375,1.0
prompt33,0.0,56.90258455276489,242,yes,70,70,0.0,0.02497100830078125,1.0
prompt34,0.0,37.913612365722656,164,yes,23,23,0.0,0.0216827392578125,1.0
prompt35,0.0,48.20701766014099,204,yes,9,9,0.0,0.021697998046875,1.0
prompt36,0.0,57.11254096031189,240,yes,75,75,0.0,0.0231475830078125,1.0
prompt37,,332.68415546417236,1000,buggy,None,2,,,
prompt38,0.0,49.87761163711548,211,yes,10,10,0.0,0.02982330322265625,1.0
prompt39,0.0,223.8896129131317,738,yes,18,18,0.0,0.02263641357421875,1.0
prompt40,,328.58853578567505,1000,buggy,None,8,,,
prompt41,,347.85993337631226,1000,buggy,None,200,,,
prompt42,0.0,73.75481510162354,292,yes,26,26,0.0,0.01873016357421875,1.0
prompt43,0.0,192.79180264472961,663,yes,48,48,0.0,0.022216796875,1.0
