prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu,cosine
prompt0,0.0,19.656517267227173,93,no,6,18,0.0,0.0426025390625,1.0
prompt1,0.0,7.589767932891846,39,no,5,3,0.0,0.042510986328125,1.0
prompt2,0.07523977582604595,4.342987060546875,22,no,150,70000,0.5286458333333334,0.04425048828125,0.739990234375
prompt3,0.3200420721497476,1.9540197849273682,10,no,180,540,0.9990234375,0.050038655598958336,0.4707845052083333
prompt4,0.7522103950897586,1.9741971492767334,9,no,45,20,1.2998046875,0.05224609375,0.23687744140625
prompt5,0.0,13.179970502853394,63,no,18,64,0.0,0.0417022705078125,1.0
prompt6,0.8693495581731777,22.793702125549316,109,no,8,260,1.080078125,0.0489501953125,0.1864013671875
prompt7,0.3663092867191558,19.851627588272095,93,no,2.4,160,0.8531494140625,0.0444793701171875,0.36096954345703125
prompt8,,29.64762043952942,159,buggy,None,45,,,
prompt9,0.0,11.650041103363037,71,no,412,460,0.0,0.039388020833333336,1.0
prompt10,0.0,12.875700950622559,62,no,186,366,0.0,0.040740966796875,1.0
prompt11,0.0,19.225167512893677,90,no,804,694,0.0,0.041300455729166664,1.0
prompt12,0.6693458254646245,35.83312153816223,163,no,7,13,1.080078125,0.0478515625,0.240478515625
prompt13,0.44274112827497963,28.65044069290161,132,no,0,18,0.6796875,0.04461669921875,0.228759765625
prompt14,0.1525114626436485,31.30024027824402,171,no,98,60,0.33984375,0.0435943603515625,0.631103515625
prompt15,,6.693012714385986,38,buggy,None,125,,,
prompt16,0.8128363233921013,38.76743984222412,178,no,15,230,2.0458984375,0.0555572509765625,0.2408447265625
prompt17,0.0,17.939146995544434,104,no,40000,57500,0.0,0.0398193359375,1.0
prompt18,0.0,9.773617267608643,49,no,21,7,0.0,0.04119873046875,1.0
prompt19,0.7206621039952392,23.891443014144897,138,no,3,6,1.923828125,0.04986572265625,0.2186279296875
prompt20,0.0,37.51223278045654,170,no,10,15,0.0,0.0400543212890625,1.0
prompt21,0.0,43.37122821807861,237,no,21,14,0.0,0.042755126953125,1.0
prompt22,0.0,10.954437255859375,66,no,12,7,0.0,0.039520263671875,1.0
prompt23,,3.3651061058044434,21,buggy,None,8,,,
prompt24,0.0,16.191532850265503,79,yes,26,26,0.0,0.039764404296875,1.0
prompt25,0.0,26.742441177368164,123,no,55.5,2,0.0,0.0389404296875,1.0
prompt26,0.08271310656847604,20.958178281784058,97,no,164.5,243,0.11344401041666667,0.040262858072916664,0.8424886067708334
prompt27,0.0,17.59883761405945,83,no,3600,16,0.0,0.04067230224609375,1.0
prompt28,0.6868872804012989,2.0045831203460693,10,yes,25,25,1.673828125,0.0545654296875,0.2303466796875
prompt29,0.0,26.785335779190063,123,no,66,104,0.0,0.041259765625,1.0
prompt30,0.0,23.88284921646118,114,no,1370,109,0.0,0.040496826171875,1.0
prompt31,0.0,21.989453554153442,103,no,220,80,0.0,0.040517171223958336,1.0
prompt32,,42.42654013633728,236,buggy,None,35,,,
prompt33,0.0,15.111685276031494,75,no,110,70,0.0,0.03985595703125,1.0
prompt34,0.0,24.02343726158142,113,no,42,23,0.0,0.040008544921875,1.0
prompt35,0.0,27.960623741149902,131,no,20,9,0.0,0.042816162109375,1.0
prompt36,0.0,16.0627658367157,78,no,375,75,0.0,0.041798909505208336,1.0
prompt37,0.0,7.046832323074341,35,no,35,2,0.0,0.0410003662109375,1.0
prompt38,,40.41595220565796,227,buggy,None,10,,,
prompt39,,40.45089602470398,218,buggy,None,18,,,
prompt40,0.23774881589945207,24.574454307556152,116,yes,8,8,0.6767578125,0.04754638671875,0.151123046875
prompt41,0.0,20.69726800918579,111,no,1100,200,0.0,0.04227447509765625,1.0
prompt42,0.0,21.69615864753723,99,no,16,26,0.0,0.0406494140625,1.0
prompt43,0.17161942303260447,20.978810787200928,98,no,4.5,48,0.17041015625,0.0404205322265625,0.816162109375
prompt44,0.1345482187756899,14.262624263763428,82,no,40,20,0.33837890625,0.045318603515625,0.6375732421875
prompt45,,259.49288058280945,1000,buggy,None,104,,,
prompt46,0.0,23.319848775863647,105,no,40,163,0.0,0.0416259765625,1.0
prompt47,,29.550874710083008,170,buggy,None,800,,,
prompt48,0.0,10.997825384140015,55,no,24,8,0.0,0.0399017333984375,1.0
prompt49,,249.09507584571838,1000,buggy,None,30,,,
prompt50,0.06040581026186078,20.54548144340515,124,no,1608,294,0.169677734375,0.04189300537109375,0.80279541015625
prompt51,0.0,30.010172128677368,140,no,25,5,0.0,0.0413970947265625,1.0
prompt52,0.0,20.29014229774475,95,no,22,15,0.0,0.041229248046875,1.0
prompt53,,23.59286069869995,128,buggy,None,40,,,
prompt54,0.0,19.90823721885681,91,no,20,40,0.0,0.0404815673828125,1.0
prompt55,0.0,16.198233366012573,96,no,28,14,0.0,0.0423126220703125,1.0
prompt56,1.0073505384776784,12.750750541687012,63,no,1,3,0.681640625,0.04583740234375,0.2646484375
prompt57,0.0,19.511805295944214,90,no,67,83,0.0,0.041015625,1.0
